id,display,school,effect_type,element,realm_min,spirit_cost,status,skill_type
ice_spear,冰矛术,elemental,,ice,FOUNDATION,,wired,
flame_burst,炎爆术,elemental,,fire,FOUNDATION,,wired,
evil_ward_thunder,辟邪雷（仿）,elemental,,thunder,CORE_FORMATION,,wired,
elemental_burst_fire,fire系爆发术（通称）,elemental,,fire,FOUNDATION,,wired,
elemental_burst_water,water系爆发术（通称）,elemental,,water,FOUNDATION,,wired,
elemental_burst_earth,earth系爆发术（通称）,elemental,,earth,FOUNDATION,,wired,
elemental_burst_wind,wind系爆发术（通称）,elemental,,wind,FOUNDATION,,wired,
elemental_burst_metal,metal系爆发术（通称）,elemental,,metal,FOUNDATION,,wired,
elemental_burst_wood,wood系爆发术（通称）,elemental,,wood,FOUNDATION,,wired,
elemental_burst_ice,ice系爆发术（通称）,elemental,,ice,FOUNDATION,,wired,
elemental_burst_thunder,thunder系爆发术（通称）,elemental,,thunder,FOUNDATION,,wired,
huangfeng_fire_serpent,黄枫火蛇术,elemental,,fire,FOUNDATION,,wired,
luoyun_spirit_flame,落云灵焰,elemental,,fire,FOUNDATION,,wired,
primordial_magnet_sphere,元磁神光,elemental,,metal,CORE_FORMATION,,wired,
ice_jade_shield,冰玉盾,elemental,,ice,FOUNDATION,,wired,
flame_serpent_storm,炎蛇风暴,elemental,,fire,CORE_FORMATION,,wired,
wood_spirit_vine,木灵藤,elemental,,wood,FOUNDATION,,wired,
water_mirror_reflect,水镜术,elemental,,water,FOUNDATION,,wired,
earth_mountain_press,山岳压,elemental,,earth,CORE_FORMATION,,wired,
xuantian_ice_prison,玄天冰牢,elemental,,ice,CORE_FORMATION,,wired,
spirit_art_wind_blade,风刃灵术,fashi_spirit_art,,,QI_REFINING,,wired,
spirit_art_earth_wall,土墙灵术,fashi_spirit_art,,,QI_REFINING,,wired,
spirit_art_holy_light,圣光灵术,fashi_spirit_art,,,QI_REFINING,,wired,
spirit_art_beast_call,唤兽灵术,fashi_spirit_art,,,QI_REFINING,,wired,
spirit_art_thunder,雷灵术,fashi_spirit_art,,,QI_REFINING,,wired,
spirit_art_heal,愈灵术,fashi_spirit_art,,,QI_REFINING,,wired,
spirit_art_sand_storm,风沙灵术,fashi_spirit_art,,,FOUNDATION,,wired,
spirit_art_holy_beast_call,圣兽唤灵术,fashi_spirit_art,,,FOUNDATION,,wired,
spirit_art_wind_ride,御风灵术,fashi_spirit_art,,,QI_REFINING,,wired,
spirit_art_lightning_palm,雷掌灵术,fashi_spirit_art,,,CORE_FORMATION,,wired,
mulan_wind_blade,慕兰风刃,fashi,,wind,FOUNDATION,,wired,
mulan_earth_wall,慕兰土墙,fashi,,earth,FOUNDATION,,wired,
spirit_fengyuan_wind_wall,风元风墙,fashi,,wind,FOUNDATION,,wired,
spirit_art_holy_feather_guard,圣羽护体,fashi_spirit_art,,,CORE_FORMATION,,wired,
spirit_art_array_anchor,阵眼定灵,fashi_spirit_art,,,FOUNDATION,,wired,
small_sword_array,小剑阵,formation,,,FOUNDATION,,wired,
illusion_formation,迷踪阵,formation,,,FOUNDATION,,wired,
spirit_gather_array,聚灵阵,formation,,,FOUNDATION,,wired,
thunder_trap_array,雷劫阵,formation,,,FOUNDATION,,wired,
seal_array,封灵阵,formation,,,FOUNDATION,,wired,
kill_sword_formation,杀阵,formation,,,FOUNDATION,,wired,
defense_formation,守阵,formation,,,FOUNDATION,,wired,
sea_lock_array,镇海锁阵,formation,,,FOUNDATION,,wired,
star_palace_patrol_beacon,巡海信标,formation,,,CORE_FORMATION,,wired,
formation_trap_basic,困敌小阵,formation,,,FOUNDATION,,wired,
star_palace_seal,镇海印,formation,,,CORE_FORMATION,,wired,
kunwu_seal_strike,坤吴印击,formation,,,CORE_FORMATION,,wired,
star_palace_tidal_lock,镇海潮封,formation,,,CORE_FORMATION,,wired,
tianyuan_joint_array,天渊合阵击,formation,,,SPIRIT_SEVERING,,wired,
yin_soul_devour,噬魂阴风,ghost,,,QI_REFINING,,wired,
soul_banner_wave,招魂幡浪,ghost,,,FOUNDATION,,wired,
yin_luo_ghost_cloak,阴罗鬼cloak,ghost,,,FOUNDATION,,wired,
ghost_king_avatar,鬼王化身,ghost,,,CORE_FORMATION,,wired,
nether_ghost_walk,冥河鬼步,ghost,,,QI_REFINING,,wired,
ghost_walk,鬼步,ghost,,yin,FOUNDATION,,wired,
yin_body_condense,凝阴体,ghost,,yin,CORE_FORMATION,,wired,
guiling_corpse_summon,唤尸术,ghost,,,FOUNDATION,,wired,
mirror_phantom,镜影术,illusion,,,QI_REFINING,,wired,
hundred_illusion,百幻术,illusion,,,QI_REFINING,,wired,
mind_confusion,迷心术,illusion,,,QI_REFINING,,wired,
void_step,虚步,illusion,,,QI_REFINING,,wired,
dream_snare,梦缚,illusion,,,QI_REFINING,,wired,
clone_image,分身幻影,illusion,,,QI_REFINING,,wired,
yanyue_phantom_array,掩月幻阵,illusion,,,CORE_FORMATION,,wired,
veil_of_moon,月纱障,illusion,,,FOUNDATION,,wired,
invisibility_basic,隐匿术,illusion,,,FOUNDATION,,wired,
illusion_mist,幻雾术,illusion,,,FOUNDATION,,wired,
inverse_star_veil,逆星匿形,illusion,,,FOUNDATION,,wired,
yanyue_moon_illusion,掩月幻身,illusion,,,FOUNDATION,,wired,
wanhu_nine_illusion,九尾幻境,illusion,,,CORE_FORMATION,,wired,
palm_thunder,掌心雷,misc,,,QI_REFINING,,wired,
blood_escape,血遁,misc,,,QI_REFINING,,wired,
earth_burrow,土遁,misc,,,QI_REFINING,,wired,
green_shield,青元护体,misc,,,QI_REFINING,,wired,
soul_chop,斩魂诀,misc,,,QI_REFINING,,wired,
demon_roar,魔啸,misc,,,QI_REFINING,,wired,
spirit_needle,灭灵针,misc,,,QI_REFINING,,wired,
ice_prison,玄冰牢,misc,,,QI_REFINING,,wired,
fire_rain,火雨术,misc,,,QI_REFINING,,wired,
sand_bury,流沙术,misc,,,QI_REFINING,,wired,
ghost_bind,缚鬼索,misc,,,QI_REFINING,,wired,
beast_summon,唤兽术,misc,,,QI_REFINING,,wired,
spirit_wall,灵墙术,misc,,,QI_REFINING,,wired,
corpse_explode,尸爆,misc,,,QI_REFINING,,wired,
sword_rain,剑雨术,misc,,,QI_REFINING,,wired,
mirror_reflect,镜光反,misc,,,QI_REFINING,,wired,
water_dragon,水龙术,misc,,,QI_REFINING,,wired,
gold_needle,金针术,misc,,,QI_REFINING,,wired,
yin_fire,阴火焚,misc,,,QI_REFINING,,wired,
yang_burst,阳爆,misc,,,QI_REFINING,,wired,
five_elements_palm,五行掌,misc,,,QI_REFINING,,wired,
soul_search,搜魂术,misc,,,QI_REFINING,,wired,
spirit_seal,封灵印,misc,,,QI_REFINING,,wired,
demon_subdue,伏魔印,misc,,,QI_REFINING,,wired,
blood_sword,血剑术,misc,,,QI_REFINING,,wired,
phantom_clone,幻影分身,misc,,,QI_REFINING,,wired,
sky_hook,摄魂钩,misc,,,QI_REFINING,,wired,
ground_spike,地刺阵,misc,,,QI_REFINING,,wired,
lightning_chain,连锁雷,misc,,,QI_REFINING,,wired,
frost_breath,寒息,misc,,,QI_REFINING,,wired,
molten_splash,熔岩溅,misc,,,QI_REFINING,,wired,
spirit_absorb,摄灵术,misc,,,QI_REFINING,,wired,
bone_armor,骨甲术,misc,,,QI_REFINING,,wired,
star_fall,坠星术,misc,,,QI_REFINING,,wired,
void_slash,虚空斩,misc,,,QI_REFINING,,wired,
heaven_punish,天罚术,misc,,,QI_REFINING,,wired,
beast_tame_call,驭兽啸,misc,,,FOUNDATION,,wired,
spirit_beast_contract,灵兽契约术,misc,,,FOUNDATION,,wired,
void_rift_slash,裂隙斩,misc,,spatial,VOID_REFINING,,wired,
great_vehicle_palm,大乘神掌,misc,,,GREAT_VEHICLE,,wired,
defensive_pearl_light,护体珠光,misc,,,CORE_FORMATION,,wired,
magnet_control,元磁控物,misc,,metal,CORE_FORMATION,,wired,
nascent_soul_avatar,元婴出窍,misc,,,NASCENT_SOUL,,wired,
deity_transformation_domain,化神领域,misc,,,DEITY_TRANSFORMATION,,wired,
gold_devour_swarm,噬金虫群,misc,,,CORE_FORMATION,,wired,
lingzu_pearl_barrage,灵珠连射,misc,,,SPIRIT_SEVERING,,wired,
inverse_star_veil,逆星匿踪,misc,,,FOUNDATION,,wired,
star_palace_seal_burst,星宫封灵爆,misc,,,FOUNDATION,,wired,
treasure_appraisal_glimpse,鉴宝灵光,misc,,,FOUNDATION,,wired,
golden_armor_talisman_cast,金刚护体符,misc,,,FOUNDATION,,wired,
short_teleport,瞬步,movement,,,QI_REFINING,,wired,
earth_escape,土遁,movement,,,QI_REFINING,,wired,
wind_ride,御风,movement,,,QI_REFINING,,wired,
five_elements_escape,五行遁,movement,,,QI_REFINING,,wired,
shadow_flash,影闪,movement,,,QI_REFINING,,wired,
river_escape,水遁,movement,,,QI_REFINING,,wired,
smuggle_rift_step,暗港遁步,movement,,,FOUNDATION,,wired,
water_escape,水遁术,movement,,water,FOUNDATION,,wired,
wind_escape,风遁术,movement,,wind,FOUNDATION,,wired,
fire_escape,火遁术,movement,,fire,FOUNDATION,,wired,
light_body,轻身术,movement,,,QI_REFINING,,wired,
inverse_star_shadow_step,逆星影步,movement,,,FOUNDATION,,wired,
summon_wood_puppet,唤木傀,puppet,,,FOUNDATION,,wired,
puppet_swarm,傀群术,puppet,,,FOUNDATION,,wired,
puppet_self_destruct,傀爆,puppet,,,FOUNDATION,,wired,
spirit_thread_control,控灵丝,puppet,,,FOUNDATION,,wired,
dayan_eye,大衍神眼,puppet,,,FOUNDATION,,wired,
iron_puppet,铁傀召,puppet,,,FOUNDATION,,wired,
array_puppet,阵傀,puppet,,,FOUNDATION,,wired,
puppet_control_basic,控傀诀,puppet,,,QI_REFINING,,wired,
puppet_array_trap,机关阵术,puppet,,,FOUNDATION,,wired,
puppet_swarm_command,群傀号令,puppet,,,CORE_FORMATION,,wired,
beast_soul_puppet_bind,兽魂傀绑,puppet,,,FOUNDATION,,wired,
puppet_summon_basic,唤傀术,puppet,,,CORE_FORMATION,,wired,
heal_qi,回气术,recovery,,,QI_REFINING,,wired,
detoxify,解毒术,recovery,,,QI_REFINING,,wired,
spirit_recovery,凝神术,recovery,,,QI_REFINING,,wired,
body_repair,疗伤术,recovery,,,QI_REFINING,,wired,
group_heal,群体疗伤,recovery,,,QI_REFINING,,wired,
revive_weak,续命术,recovery,,,QI_REFINING,,wired,
spirit_shield,灵力护罩,recovery,,,QI_REFINING,,wired,
tribulation_thunder_ward,护劫雷罩,recovery,,,NASCENT_SOUL,,wired,
nascent_soul_escape,元婴遁,secret_arts,,,NASCENT_SOUL,,wired,
second_nascent_soul,第二元婴,secret_arts,,,NASCENT_SOUL,,wired,
domain_compress,领域压缩,secret_arts,,,NASCENT_SOUL,,wired,
life_fire,本命真火,secret_arts,,,NASCENT_SOUL,,wired,
void_refine_touch,炼虚触,secret_arts,,,NASCENT_SOUL,,wired,
spirit_sense_merge,神魂融合,secret_arts,,,NASCENT_SOUL,,wired,
space_tear_slash,裂空斩,secret_arts,,,NASCENT_SOUL,,wired,
tribulation_redirect,引劫术,secret_arts,,,NASCENT_SOUL,,wired,
bloodline_awaken,血脉觉醒,secret_arts,,,NASCENT_SOUL,,wired,
blood_shadow_escape,血影遁,demonic,,,CORE_FORMATION,,wired,
sword_formation_secret,万剑归宗（仿）,sword,,,CORE_FORMATION,,wired,
nether_core_form,冥核凝形,ghost,,,CORE_FORMATION,,wired,
nine_palace_seal_secret,九宫封天,formation,,,NASCENT_SOUL,,wired,
dayan_puppet_legion,大衍傀群,puppet,,,NASCENT_SOUL,,wired,
star_palace_heaven_seal,星宫天印,formation,,,DEITY_TRANSFORMATION,,wired,
inverse_star_rebellion,逆星乱世,covert,,,CORE_FORMATION,,wired,
void_refining_domain,炼虚领域,misc,,,VOID_REFINING,,wired,
great_vehicle_dharma_body,法相天地,body,,,GREAT_VEHICLE,,wired,
spirit_severing_flash,炼神一闪,misc,,,SPIRIT_SEVERING,,wired,
fallen_demon_transform,坠魔变身,demonic,,,NASCENT_SOUL,,wired,
blood_demon_avatar,血魔分身,demonic,,,CORE_FORMATION,,wired,
hehuan_union_secret,双修合欢,demonic,,,CORE_FORMATION,,wired,
tianmo_berserk,天魔狂化,demonic,,,CORE_FORMATION,,wired,
illusion_world,幻界,illusion,,,NASCENT_SOUL,,wired,
beast_soul_fusion,兽魂融合,misc,,,CORE_FORMATION,,wired,
spatial_tear_escape,破空遁,movement,,spatial,NASCENT_SOUL,,wired,
wan_sword_return,万剑归宗（仿）,sword,,,NASCENT_SOUL,,wired,
void_palace_heaven_earth,天地阴阳大挪移（仿）,formation,,,DEITY_TRANSFORMATION,,wired,
true_immortal_sword_art,真灵剑诀（仿）,sword,,,SPIRIT_SEVERING,,wired,
tianmo_demon_body_secret,天魔真身,demonic,,,DEITY_TRANSFORMATION,,wired,
hehuan_soul_devour_secret,合欢噬魂,demonic,,,CORE_FORMATION,,wired,
inverse_star_void_escape,逆星虚空遁,movement,,,CORE_FORMATION,,wired,
pill_soul_condense_secret,丹魂凝华,recovery,,,CORE_FORMATION,,wired,
huadao_slash_secret,化刀一刀,sword,,,NASCENT_SOUL,,wired,
lieyan_true_fire_secret,真炎焚天,elemental,,,NASCENT_SOUL,,wired,
five_element_fusion_burst,五行融爆,elemental,,,CORE_FORMATION,,wired,
mulan_holy_bird_call,圣禽唤灵,fashi,,,CORE_FORMATION,,wired,
beast_soul_fusion_secret,兽魂合体,beast,,,CORE_FORMATION,,wired,
qingluo_ten_poison_seal,十毒封脉,demonic,,,CORE_FORMATION,,wired,
wanhu_thousand_phantom_domain,千幻域,illusion,,,NASCENT_SOUL,,wired,
tianyuan_boundary_break,界壁裂隙,movement,,,DEITY_TRANSFORMATION,,wired,
yinluo_soul_harvest,阴罗摄魂,ghost,,,CORE_FORMATION,,wired,
inverse_star_covert_ultimate_secret,逆星匿踪,movement,,,NASCENT_SOUL,,wired,
demonic_guiling_ultimate_secret,鬼灵尸潮,ghost,,,NASCENT_SOUL,,wired,
yin_cluster_ghost_ultimate_secret,阴魂聚煞,ghost,,,NASCENT_SOUL,,wired,
puppet_qianzhu_ultimate_secret,千竹傀阵,puppet,,,CORE_FORMATION,,wired,
puppet_yuling_ultimate_secret,御灵万傀,puppet,,,CORE_FORMATION,,wired,
blade_giant_sword_ultimate_secret,巨剑开山,sword,,,CORE_FORMATION,,wired,
artifact_spirit_awaken_secret,器灵初醒,misc,,,CORE_FORMATION,,wired,
auction_bid_insight_secret,竞价天机,misc,,,CORE_FORMATION,,wired,
qingyuan_sword_ray,青元剑芒,sword,,,FOUNDATION,,wired,
flying_sword_strike,御剑斩,sword,,,FOUNDATION,,wired,
green_bamboo_sword_qi,青竹剑气,sword,,,FOUNDATION,,wired,
sword_shield,剑盾,sword,,,FOUNDATION,,wired,
thousand_sword_array,万剑阵,sword,,,FOUNDATION,,wired,
sword_escape,剑遁,sword,,,FOUNDATION,,wired,
blood_sword_slash,血影剑斩,sword,,,FOUNDATION,,wired,
sword_merge,人剑合一,sword,,,FOUNDATION,,wired,
invisible_sword,无形剑,sword,,,FOUNDATION,,wired,
sword_domain,剑域,sword,,,FOUNDATION,,wired,
dual_sword_dance,双剑舞,sword,,,FOUNDATION,,wired,
star_sword_array,天星剑阵,sword,,,CORE_FORMATION,,wired,
sword_formation_basic,小剑阵,sword,,metal,CORE_FORMATION,,wired,
green_bamboo_sword_ray,青竹剑芒（仿）,sword,,wood,CORE_FORMATION,,wired,
metal_sword_finger,金剑指,sword,,,FOUNDATION,,wired,
fire_talisman,烈火符,talisman,,,QI_REFINING,,wired,
ice_talisman,寒冰符,talisman,,,QI_REFINING,,wired,
teleport_talisman,遁天符,talisman,,,QI_REFINING,,wired,
spirit_shield_talisman,护体符,talisman,,,QI_REFINING,,wired,
explosion_talisman,爆炎符,talisman,,,QI_REFINING,,wired,
wind_talisman,神行符,talisman,,,QI_REFINING,,wired,
seal_talisman,定身符,talisman,,,QI_REFINING,,wired,
ghost_talisman,驱鬼符,talisman,,,QI_REFINING,,wired,
spirit_chain_talisman_cast,缚灵符术,talisman,,,FOUNDATION,,wired,
golden_armor_talisman_cast,金刚符术,talisman,,,FOUNDATION,,wired,
thunder_talisman_storm,雷符暴雨,talisman,,,CORE_FORMATION,,wired,
tianfu_golden_chain,天符金链,talisman,,,FOUNDATION,,wired,
cast_fire_burst_talisman,爆炎符·瞬发,talisman,,,QI_REFINING,,wired,
cast_ice_seal_talisman,冰封符·瞬发,talisman,,,QI_REFINING,,wired,
cast_escape_heaven_talisman,遁天符·瞬发,talisman,,,FOUNDATION,,wired,
cast_spirit_fix_talisman,定神符·瞬发,talisman,,,QI_REFINING,,wired,
cast_thunder_talisman,雷霄符·瞬发,talisman,,,CORE_FORMATION,,wired,
cast_soul_lock_talisman,锁魂符·瞬发,talisman,,,FOUNDATION,,wired,
cast_teleport_array_talisman,传送符·瞬发,talisman,,,FOUNDATION,,wired,
cast_beast_contract_talisman,御兽契符·瞬发,talisman,,,QI_REFINING,,wired,
cast_anti_demon_talisman,驱魔符·瞬发,talisman,,,FOUNDATION,,wired,
cast_yin_protect_talisman,阴灵护符·瞬发,talisman,,,FOUNDATION,,wired,
cast_ghost_hide_talisman,敛魂符·瞬发,talisman,,,QI_REFINING,,wired,
cast_space_anchor_talisman,定空符·瞬发,talisman,,,CORE_FORMATION,,wired,
cast_life_save_talisman,替身符·瞬发,talisman,,,NASCENT_SOUL,,wired,
cast_earth_wall_talisman,土墙符·瞬发,talisman,,,QI_REFINING,,wired,
cast_mirage_heart_talisman,幻心符·瞬发,talisman,,,FOUNDATION,,wired,
cast_invisibility_talisman,匿形符·瞬发,talisman,,,FOUNDATION,,wired,
cast_spirit_gather_talisman,聚灵符·瞬发,talisman,,,QI_REFINING,,wired,
cast_illusion_talisman,迷踪符·瞬发,talisman,,,QI_REFINING,,wired,
cast_star_palace_patrol_talisman,星宫巡海符·瞬发,talisman,,,QI_REFINING,,wired,
cast_golden_armor_talisman,金刚符·瞬发,talisman,,,QI_REFINING,,wired,
cast_inverse_star_cipher_talisman,逆星暗号符·瞬发,talisman,,,QI_REFINING,,wired,
cast_bu_tian_talisman,补天符·瞬发,talisman,,,QI_REFINING,,wired,
cast_wood_bind_talisman,木缚符·瞬发,talisman,,,QI_REFINING,,wired,
cast_metal_blade_talisman,金刃符·瞬发,talisman,,,QI_REFINING,,wired,
cast_void_palace_key_talisman,虚天引路符·瞬发,talisman,,,QI_REFINING,,wired,
cast_talisman_wooden_ox,木牛符·瞬发,talisman,,,FOUNDATION,,wired,
soul_devouring_cloud,噬魂云,xuan_yin,,,FOUNDATION,,wired,
corpse_explosion,尸爆,xuan_yin,,,FOUNDATION,,wired,
yin_soul_chain,阴魂链,xuan_yin,,,FOUNDATION,,wired,
blood_corruption,污血术,xuan_yin,,,FOUNDATION,,wired,
corpse_armor,炼尸甲,xuan_yin,,,FOUNDATION,,wired,
underworld_flame,幽冥火,xuan_yin,,,FOUNDATION,,wired,
yin_corrosion,阴蚀,xuan_yin,,,FOUNDATION,,wired,
ghost_king_summon,鬼王召,xuan_yin,,,FOUNDATION,,wired,
soul_banner,招魂,xuan_yin,,,FOUNDATION,,wired,
soul_anchor_rite,魂锚仪式,xuan_yin,,,FOUNDATION,,wired,
yin_soul_burst,阴婴爆散,xuan_yin,,,NASCENT_SOUL,,wired,
poluo_soul_pull,夺魂牵引,xuan_yin,,,FOUNDATION,,wired,
