id,display,category,threat,tier_hint,habitat,tameable,source_file,description_short
jiu_qu_lingshen_spirit,九曲灵参（活体/曲儿）,plant_spirit,1,special,"虚天殿等,喜麝兰兽粪结构",True,bestiary_compendium_v95.json,
yin_yue,银月（雪玲）,humanoid_other,6,artifact_spirit_to_great,,,bestiary_compendium_v95.json,
mei_lan_shengwu,慕兰圣兽/图腾兽（结构）,yaoshou,5,"[8, 12]",慕兰草原,,bestiary_compendium_v95.json,
hai_shou_generic,乱星海普通海兽,yaoshou,2,"[3, 8]",内星海/外星海,,bestiary_compendium_v95.json,
xiang_yao_cao_marker,伴妖草指示巢穴的妖兽群,yaoshou,3,"[4, 9]",,,bestiary_compendium_v95.json,
jin_shen_yue_shi,金身月尸,shi_gui,7,NASCENT_plus,,,bestiary_compendium_v95.json,
shan_yue_juyuan_blood,山岳巨猿（真血/真灵）,zhenling,9,13,,,bestiary_compendium_v95.json,
tian_feng_bloodline,天凤血脉生物,zhenling,9,13,,,bestiary_compendium_v95.json,
wu_se_kongque,五色孔雀,zhenling,9,13,,,bestiary_compendium_v95.json,
ink_qilin_scale_beast,墨麒麟（远亲/真灵）,zhenling,9,13,,,bestiary_compendium_v95.json,
jin_bei_yaolang,金背妖螂,chong,3,"[4, 7]","御灵宗,虫修洞府",True,bestiary_secondary_v96.json,御灵宗常见驱使灵虫；适合筑基期虫阵消耗战。
cai_lian_chong,彩练虫（结构）,chong,2,"[3, 6]",天南山林,,bestiary_secondary_v96.json,中低阶虫修过渡种；坊市偶见虫卵。
xue_yun_hu,雪云狐,lingshou,3,"[5, 8]",天南雪山/秘境,True,bestiary_secondary_v96.json,韩立归落云宗后追踪目标结构；引出银月/尸魈事件。
ju_yuan_kuilei_beast,巨猿类妖兽（普通）,yaoshou,4,"[5, 9]","万岭,坠魔外围,灵界山地",,bestiary_secondary_v96.json,力系妖兽模板；与山岳巨猿真灵区分。
chi_huo_jiao,赤火蛟,yaoshou,5,"[8, 10]",大晋临江水域,,bestiary_secondary_v96.json,屠蛟任务目标；鳞片为火系法宝上佳材。
she_yao_generic,蛇妖（各级）,yaoshou,3,"[2, 8]","山林,沼泽,禁地",,bestiary_secondary_v96.json,最常见素材妖；胆可入药，皮可炼甲。
hu_yao_generic,虎妖（各级）,yaoshou,4,"[4, 9]","灵山,猎场",,bestiary_secondary_v96.json,正道猎场常见；骨可炼器药。
lang_yao_generic,狼妖群,yaoshou,3,"[3, 7]","草原,边关",,bestiary_secondary_v96.json,慕兰/边关战兽相关模板。
diao_yao,灵貂/貂妖,lingshou,2,"[3, 6]",药园盗药,True,bestiary_secondary_v96.json,药园灾害源；可驯为探路宠。
feng_yao_niao,风系妖禽,yaoshou,3,"[4, 8]","高山,星海岛屿",,bestiary_secondary_v96.json,翎羽可炼遁器辅材。
huo_yao_niao,火鸦/火禽,yaoshou,3,"[3, 7]","火脉,火狱外围",,bestiary_secondary_v96.json,火系炼器辅材来源。
shui_jiao_low,低阶水蛟,yaoshou,4,"[5, 7]","大河,内星海",,bestiary_secondary_v96.json,墨蛟与八级毒蛟之间的过渡种。
hai_jiao_kuilei,海蟹/甲壳海兽,yaoshou,3,"[4, 8]",乱星海浅滩,,bestiary_secondary_v96.json,海修常见猎物；壳可炼盾。
sha_yu_yao,妖鲨,yaoshou,4,"[5, 9]",外星海,,bestiary_secondary_v96.json,兽潮前锋模板。
zhang_yu_yao,妖章鱼/触手海怪,yaoshou,5,"[6, 10]",深海,,bestiary_secondary_v96.json,深海猎杀高危；墨可入阴修。
lei_shou_generic,雷兽（人界）,yaoshou,5,"[6, 10]","雷岛,雷空岛外围",,bestiary_secondary_v96.json,雷系炼器与雷珠辅材来源。
bing_yuan_lang,冰原狼,yaoshou,3,"[5, 8]",北地小极宫外围,,bestiary_secondary_v96.json,寒地常见；皮可制寒抗衣。
xuan_bing_chong,玄冰虫,chong,3,"[4, 7]",玄玉洞附近,,bestiary_secondary_v96.json,采玄冰花时的骚扰虫群。
du_xie,毒蝎妖,yaoshou,4,"[4, 8]","南疆沙漠,万毒谷外围",,bestiary_secondary_v96.json,毒圣门友好素材；十绝毒原料链。
sha_chong_wan,沙虫,yaoshou,4,"[5, 9]",南疆大漠,,bestiary_secondary_v96.json,姜黄晶产区伴生威胁。
gui_wu_generic,普通鬼物,shi_gui,3,"[2, 6]","古战场,阴罗宗驻地,阴冥",,bestiary_secondary_v96.json,啼魂口粮；正道符箓克制。
lian_shi_low,初级炼尸,shi_gui,3,"[3, 7]","鬼灵门,阴罗宗,战场",,bestiary_secondary_v96.json,魔道炮灰；可被收为低阶战力。
fei_tian_shi,飞天尸,shi_gui,5,"[8, 10]","阴罗高层,阴阳窟相关",,bestiary_secondary_v96.json,银翅夜叉前置形态结构。
tian_jue_mo_shi,天绝魔尸（炼制品）,shi_gui,5,crafted_NASCENT,,crafted,bestiary_secondary_v96.json,韩立炼制以寄第二元婴的结构体。
xiang_yao_huli,魅狐/妖狐修,yaoshou,4,"[6, 11]","合欢相关秘境,野外",,bestiary_secondary_v96.json,幻术系；定神符/神识可抗。
mu_yao_tree,树妖/木灵,plant_spirit,4,"[5, 10]","古林,木族边境灵界",,bestiary_secondary_v96.json,木系功法友好；灵界木族相关升级版。
jin_shi_ren,金石傀儡兽（遗迹）,humanoid_other,4,"[5, 9]","上古遗址,昆吾外围禁制",,bestiary_secondary_v96.json,非活物；近傀儡，魄石可修。
xue_sha_chong,血煞虫,chong,4,"[5, 8]","魔道秘地,血祭场",,bestiary_secondary_v96.json,魔功祭炼素材；正道禁运。
bi_zui_jiu,碧嘴鸠,yaoshou,4,"[6, 9]","毒沼,南疆",,bestiary_secondary_v96.json,十绝毒「碧鸠」来源生物。
she_lan_shou,麝兰兽,yaoshou,2,"[4, 7]",灵参出没地,,bestiary_secondary_v96.json,非强敌；粪便为引参奇物结构。
lei_shou_spirit,灵界雷兽,yaoshou,7,"[11, 13]","地渊,雷域",,bestiary_secondary_v96.json,鱼店主/啼魂线可涉；化神以上。
an_shou_diyuan,地渊暗兽,yaoshou,6,"[10, 13]",地渊深层,,bestiary_secondary_v96.json,豹麟兽进阶口粮；王级内丹极珍。
mo_lang_generic,魔狼/魔犬,yaoshou,5,"[8, 12]","魔界边境,魔金山外围",,bestiary_secondary_v96.json,魔界炮灰到精英模板。
mo_e,魔鳄,yaoshou,8,13,魔金山,,bestiary_secondary_v96.json,宝花线关联高危。
fu_you_zu_bug,蜉蝣族相关虫潮,chong,7,"[9, 13]",冥河周边,,bestiary_secondary_v96.json,冥河任务环境危害。
ming_chong_mu,螟虫之母,chong,8,13,跨界事件,,bestiary_secondary_v96.json,噬金虫终极进化关键素材来源。
hei_ni_shou,黑猊兽,zhenling,9,13,灵界大战,,bestiary_secondary_v96.json,马良之战等可见；非猎场生物。
huo_xu_zi,火须子（真灵火）,zhenling,9,13,,,bestiary_secondary_v96.json,真仙马良侧真灵级火修参照。
tian_peng_zuren,天鹏族战禽,lingshou,6,"[10, 12]",天鹏圣地,faction_only,bestiary_secondary_v96.json,圣地试炼与护卫用禽。
jin_wu_fragment,金乌相关（残影/血脉）,zhenling,9,13,,,bestiary_secondary_v96.json,噬灵天火吞噬链上的真灵火种标签。
ling_shou_shan_stock,灵兽山放养种,lingshou,2,"[2, 6]",麒麟阁/灵兽山,True,bestiary_secondary_v96.json,宗门商品灵兽；战力受驯化限制。
war_mount_mulan,慕兰战兽,yaoshou,4,"[5, 10]",慕兰草原,,bestiary_secondary_v96.json,战争单位；击杀掉图腾碎片。
bi_lin_she,碧鳞蛇,yaoshou,2,"[3, 6]","药园,禁地边缘",,bestiary_more_v97.json,药园常见害兽；胆可入基础解毒/毒丹。
huo_ling_shu,火鳞鼠,yaoshou,2,"[2, 5]","地火附近,矿洞",,bestiary_more_v97.json,矿脉害兽；可驯探矿。
shi_tie_kuang_chong,噬铁虫（普通）,chong,1,"[2, 5]",矿山,,bestiary_more_v97.json,与噬金虫同科低配；坊市可卖卵。
yun_yi_meng,云翼蟒,yaoshou,4,"[6, 9]","高山,坠魔外围",,bestiary_more_v97.json,空战威胁；翼膜可炼软甲。
xue_ci_hao,血刺豪猪妖,yaoshou,3,"[4, 7]",密林,,bestiary_more_v97.json,远程骚扰型；刺可炼暗器。
han_bing_chan,寒冰蟾,yaoshou,3,"[5, 8]","北地,小极宫外",,bestiary_more_v97.json,与火蟾对照的寒属性素材源。
lei_lin_e,雷鳞鳄,yaoshou,5,"[7, 10]","雷泽,星海雷岛",,bestiary_more_v97.json,雷系重甲素材；猎杀需防雷池。
you_ming_gu,幽冥蛊虫,chong,4,"[5, 9]","南疆蛊术,魔道",,bestiary_more_v97.json,邪修控人道具；正道缴获即毁或封。
jin_can_si,金蚕丝虫,chong,2,"[3, 6]","锦绣山门,养蚕洞府",True,bestiary_more_v97.json,丝可炼软甲与捆仙绳辅材。
shi_hun_yao,噬魂妖（低阶）,shi_gui,4,"[6, 9]","古修洞府,阴冥边缘",,bestiary_more_v97.json,神识弱者克星；大衍/啼魂克制。
kuang_zhan_shi,狂战尸,shi_gui,3,"[5, 8]",鬼灵门战场,,bestiary_more_v97.json,魔道冲阵单位。
xue_jiao_fan,血蛟帆（海兽）,yaoshou,4,"[6, 9]",外星海,,bestiary_more_v97.json,兽潮先锋模板。
jing_yu_shou,鲸语兽,yaoshou,5,"[8, 11]",深海,,bestiary_more_v97.json,深海猎杀需结队；骨可炼音系法宝。
mu_jia_chong,木甲虫,chong,3,"[4, 7]","古林,木灵地",,bestiary_more_v97.json,木系炼器胶合材。
tu_shi_long_qian,土蜥龙（低阶）,yaoshou,3,"[5, 8]","荒原,大晋西",,bestiary_more_v97.json,土甲龙远亲普通种。
feng_ling_die,风灵蝶,lingshou,2,"[3, 6]",灵花海,True,bestiary_more_v97.json,可驯为传讯/探路；粉可入幻药。
an_ying_bao,暗影豹,yaoshou,4,"[6, 9]",密林夜境,,bestiary_more_v97.json,刺客型妖兽；光系/天眼克制。
shi_yan_gui,石岩龟,yaoshou,3,"[5, 8]",山地,,bestiary_more_v97.json,防御素材；甲可炼盾。
chi_tong_yao_niao,赤瞳妖鸦,yaoshou,3,"[4, 7]","战场,魔道驻地",,bestiary_more_v97.json,魔道眼线生物；清场需范围术。
yin_huo_chong,阴火虫,chong,3,"[5, 8]","阴冥,鬼罗幡阵中",,bestiary_more_v97.json,阴修养虫；可喂啼魂。
xue_mo_quan,血魔犬,yaoshou,4,"[5, 9]","血祭场,慕兰外围魔修",,bestiary_more_v97.json,追杀逃兵与伤员的战争单位。
qing_mu_ren,青木人（精怪）,plant_spirit,4,"[6, 10]",古木阵眼,,bestiary_more_v97.json,护林精怪；杀之损木运（叙事）。
sha_hai_scorpion_king,沙海蝎王,yaoshou,5,"[8, 10]",南疆沙漠深处,,bestiary_more_v97.json,区域BOSS模板；毒圣门可能收服。
xing_hai_shui_mu,星海水母妖,yaoshou,3,"[5, 8]",内星海,,bestiary_more_v97.json,胶可炼软甲与丹药辅材。
gumo_canpo,古魔残魄,gu_mo,6,NASCENT_special,"坠魔谷裂缝,无边海",,bestiary_more_v97.json,血焰同类低配；接触需禁制。
tianwai_moying,天外魔影（低等）,gu_mo,7,"[10, 13]","魔金山,破界点",,bestiary_more_v97.json,灵界魔患模板。
ling_ji_shou,灵鸡/报晓灵禽,lingshou,1,"[1, 4]","洞府,药园",True,bestiary_more_v97.json,洞府警报宠；无战力。
cai_yun_lu,彩云鹿,lingshou,2,"[4, 7]",灵山浅层,True,bestiary_more_v97.json,灵药亲和；茸入药。
hei_feng_bao,黑风豹（慕兰）,yaoshou,4,"[6, 9]",慕兰草原,,bestiary_more_v97.json,法师骑乘/伴战单位。
yu_lin_jiao_long_qian,雨鳞蛟（未化形）,yaoshou,5,"[7, 9]","大湖,暴雨海域",,bestiary_more_v97.json,水修争夺的灵蛟。
zhen_yan_shou,镇岩兽,lingshou,5,"[8, 11]","矿脉核心,宗门镇压",sect_only,bestiary_more_v97.json,护山灵兽模板。
huo_yi_chong_wang,火蚁虫群,chong,3,"[3, 7]",火脉裂隙,,bestiary_more_v97.json,范围火术清场；单杀无意义。
bing_feng_que,冰峰雀,yaoshou,3,"[4, 7]",雪峰,,bestiary_more_v97.json,寒地飞行素材。
mo_lin_ma,墨鳞马,lingshou,3,"[5, 8]","边军,大晋",True,bestiary_more_v97.json,修士坐骑商品；价高于凡马百倍。
diyuan_fu_you_scout,地渊侦察蜉蝣,chong,5,"[9, 11]",地渊,,bestiary_more_v97.json,深层试炼骚扰单位。
guanghan_anshou_cub,广寒暗兽幼体,yaoshou,6,"[10, 12]",广寒界,,bestiary_more_v97.json,界面猎场；豹麟可抢食。
jin_chi_diao,金翅雕,yaoshou,4,"[6, 10]","高山之巅,乱星海孤岛",,bestiary_v98.json,空中霸主型妖禽。金羽可炼飞剑辅材与软甲；筑基后期需结队或遁符。
xuan_wu_gui_low,玄武血脉龟（低）,yaoshou,5,"[7, 11]","深湖,北地寒潭",,bestiary_v98.json,防御模板顶点之一。非真灵全血；甲片炼盾一等。
huo_qi_lin_cub,火麒麟幼兽（伪）,lingshou,6,"[8, 12]","火狱边缘奇遇,拍卖伪种",极难,bestiary_v98.json,多半是远亲或伪种。真火麒麟不入日常刷新。
yin_yang_yu,阴阳鱼妖,yaoshou,3,"[5, 8]","阴阳窟水域,太极灵泉",,bestiary_v98.json,双修与阴阳功法友好素材；成对比杀药性更全。
shi_xin_gu,蚀心蛊母,chong,5,"[7, 10]","南疆蛊洞,魔修密室",,bestiary_v98.json,邪道控人顶级虫。正道缴获须封禁神识阵；啼魂可嗅。
lei_ying_lang,雷影狼王,yaoshou,5,"[8, 10]","雷岛腹地,地渊浅层",,bestiary_v98.json,群居精英。先清小狼再王；皮炼雷抗衣。
mu_long_jiao_gan,木龙干尸守卫,shi_gui,6,"[9, 11]","上古木修遗迹,广寒边缘",,bestiary_v98.json,遗迹BOSS模板。火系克制；斩首绿火方死。
xue_mo_ying,血膜蝇群,chong,3,"[4, 7]","血祭场,慕兰战场尸体堆",,bestiary_v98.json,战场公害。范围火/冰清场；单杀无意义。
han_yu_hu,寒玉虎,yaoshou,4,"[6, 9]",小极宫外围雪谷,,bestiary_v98.json,北地硬目标。骨入寒药；皮制高级寒衣。
gu_jian_ling,古剑灵（失控）,humanoid_other,5,"[7, 10]","试剑大会禁地,古修剑冢",,bestiary_v98.json,非血肉生灵。强神识/佛光克制；掉落利剑修。
shen_shi_zhu,蜃尸蛛,yaoshou,4,"[6, 9]","沙漠绿洲幻境,南疆",,bestiary_v98.json,先破幻再杀本体。丝可炼幻衣与困敌网。
qing_luan_niao,青鸾（远亲）,lingshou,6,"[9, 12]","灵界木族边境,人界传说点",faction_or_event,bestiary_v98.json,祥瑞向灵禽。击杀损正道声望；羽炼音火双系宝。
mo_yan_chong,魔焰虫,chong,5,"[8, 11]","魔气之渊,魔金山浅层",,bestiary_v98.json,魔气区常见。壳炼魔器；正道触之易染魔气。
shui_yun_jiao_nv,水云蛟（化形女修）,yaoshou,5,"[8, 10]","大湖龙宫结构,内星海",,bestiary_v98.json,高智妖修模板。可交易可联姻剧情，亦可抢珠。
tian_can_dao_ren_puppet,天蚕道人遗傀,humanoid_other,4,"[6, 9]",旧道人洞府,,bestiary_v98.json,洞府守卫。火烧丝网；核心可修。
ye_cha_gui_jiang,夜叉鬼将,shi_gui,6,"[9, 11]","阴罗宗核心,重阴古战场",,bestiary_v98.json,银翅夜叉之下、飞天尸之上的精英鬼将。
jin_wu_huo_ji,金乌火鸡（伪血）,yaoshou,5,"[7, 10]","火狱深层,太阳精石矿",,bestiary_v98.json,太阳精火相关生态。真金乌不刷；此为氛围与素材。
di_xing_shu_wang,地行鼠王,yaoshou,3,"[5, 8]","矿道,灵矿地道",,bestiary_v98.json,矿脉公敌。可雇妖修捕鼠；掉落含随机矿。
feng_du_xie_hou,风毒蝎后,yaoshou,5,"[7, 9]",南疆风蚀谷,,bestiary_v98.json,沙海蝎王前置精英。解毒丹+防风阵。
yun_zhong_long_que,云中龙雀,lingshou,2,"[5, 8]","云梦高山,天南灵山",True,bestiary_v98.json,传讯灵禽商品。宗门信使常用。
xue_sha_ma_jiang,血煞魔僵,shi_gui,5,"[8, 10]","血祭战场,鬼灵门秘库",,bestiary_v98.json,炼尸进阶种。佛门/啼魂克制。
ling_xi_yu,灵溪鲤,lingshou,1,"[2, 5]","药园灵溪,聚灵阵旁",True,bestiary_v98.json,观赏与净池用。杀之扣药园风水（叙事）。
po_jun_xing_shou,破军星兽（幻）,yaoshou,6,"[10, 12]","星宫试炼幻境,天星城秘",,bestiary_v98.json,试炼投影，非野外真兽。掉落试炼积分物。
ku_mu_yao_lao,枯木妖老,plant_spirit,5,"[8, 11]","万木大阵眼,古林禁地",,bestiary_v98.json,护林首领。火雷有效；讲和可换灵木配额。
hai_long_zhu_hou,海龙蛛后,yaoshou,5,"[7, 10]",外星海暗礁洞,,bestiary_v98.json,海修噩梦。丝韧过血玉蛛一筹；卵可培。
san_wei_huo_li,三尾火狸,lingshou,2,"[4, 7]","火脉浅层,坊市灵兽摊",True,bestiary_v98.json,入门火系灵兽。可售可培。
you_ming_ma,幽冥骨马,shi_gui,4,"[6, 9]","阴冥,鬼修骑乘",鬼修,bestiary_v98.json,鬼修坐骑。正道缴获需超度或炼材。
zhen_yan_shou_cub,镇岩兽幼体,lingshou,2,"[4, 7]","矿脉,宗门育兽场",True,bestiary_v98.json,养成后成护山兽。幼体坊市偶见。
tian_lang_can_hun,天狼残魂,shi_gui,6,"[9, 12]","星空遗迹,灵界古战场",,bestiary_v98.json,神识战单位。大衍/炼神向挑战。
bi_shui_xuan_gui,碧水玄龟,lingshou,2,"[5, 8]","灵湖,洞府放生池",True,bestiary_v98.json,祥瑞与阵基活物。板可刻小阵。
du_sheng_men_chong,毒圣门驱使毒虫（通用）,chong,3,"[3, 8]","毒圣门驻地,南疆任务",,bestiary_v99.json,门派量产战虫。毒种随任务阶位升高；缴获可炼毒或喂噬金（风险自担）。
wan_du_hua,万毒花精,plant_spirit,5,"[7, 10]",万毒谷深处,,bestiary_v99.json,植物精怪与毒修中间态。近战需防吸入；火系有效但会引爆毒雾。
xuan_ming_gui_cha,玄冥鬼差（低阶）,shi_gui,4,"[6, 9]","阴冥深层,古修阴司遗迹",,bestiary_v99.json,秩序型鬼物，非狂化炼尸。强光/佛门/啼魂可破链。
lei_peng_cub,雷鹏幼雏,lingshou,3,"[5, 8]","雷岛外围巢,拍卖伪种",True,bestiary_v99.json,风雷翅素材线的生态补充。成体雷鹏事件向，幼雏可养成但难至真鹏。
jin_jiao_long_qian,金角蛟（未化形）,yaoshou,5,"[8, 10]","大晋深湖,外星海金脉水域",,bestiary_v99.json,金蛟王之下的精英蛟。角可炼金系法宝尖锋。
shi_gu_jiang_jun,尸谷将军尸,shi_gui,6,"[9, 11]","古战场尸谷,鬼灵门禁地",,bestiary_v99.json,尸潮指挥单位。优先斩将再清兵；佛门法宝克制。
yun_meng_jian_hu,云梦剑狐,lingshou,4,"[6, 9]",云梦试剑外围林,high_rep_yunmeng,bestiary_v99.json,圣地灵兽。擅杀扣声望；可作试剑伴生事件。
xing_gong_shou_wei,星宫守阵灵兽,lingshou,5,"[7, 10]","星宫山门,传送阵枢纽",False,bestiary_v99.json,派驻单位。攻击=与星宫开战；任务中可暂时并肩。
luo_yun_hu_shan,落云护山鹤,lingshou,2,"[5, 8]","落云宗,天南灵山",sect,bestiary_v99.json,宗门预警灵禽。羽可炼轻身衣。
he_huan_mei_ying,合欢魅影（妖化）,yaoshou,4,"[6, 9]","合欢宗秘境边缘,魅狐同域",,bestiary_v99.json,定神符/强神识必带。击杀掉魅材；亦可能是阵法投影。
qi_lin_ge_shou,麒麟阁展示兽,lingshou,2,"[4, 8]",灵兽山/麒麟阁,True,bestiary_v99.json,商品兽。偷窃触发全城通缉；正当购买走贡献/灵石。
wai_xing_hai_shui_gui,外星海深水鬼,shi_gui,4,"[7, 10]","兽潮后海域,沉船",,bestiary_v99.json,海修夜航威胁。阳灯/啼魂/雷符有效。
jin_chan_tuo_qiao,金蝉蜕壳虫,chong,2,"[4, 7]","密林,药园古树",,bestiary_v99.json,壳是炼器/符箓高级纸基辅材；打本体需防空壳骗招。
xue_lian_shou,雪莲守护兽,yaoshou,4,"[6, 9]",北地雪莲田,,bestiary_v99.json,采药必遇。杀守护兽可能毁药田风水（叙事）。
mo_qi_tun_tun,魔气吞噬兽（低等）,gu_mo,5,"[8, 11]","魔气之渊,无边海裂隙",,bestiary_v99.json,法术越多它越胖。物理/封禁类更有效。
di_yuan_shi_yan,地渊石炎兽,yaoshou,6,"[10, 12]",地渊火脉层,,bestiary_v99.json,化神猎场精英。寒焰/水法克制。
tian_peng_shi_wei,天鹏侍卫禽,lingshou,6,"[10, 12]",天鹏圣地,faction_only,bestiary_v99.json,圣地武装。外人击落=宣战。
mu_zu_shou_lin,木族守林使（化形）,plant_spirit,7,"[11, 13]",灵界木族边境,,bestiary_v99.json,高智对话单位。可任务可敌；杀之结木族仇。
mo_jie_xue_zhu,魔界血蛛,yaoshou,7,"[11, 13]",魔金山洞穴,,bestiary_v99.json,魔界常见。丝可炼魔器；正道触之染煞。
guang_han_bing_po,广寒冰魄,humanoid_other,6,"[10, 12]",广寒界冰原,,bestiary_v99.json,界面构装生灵。破核才死；火道高效。
san_yan_huo_tong,三眼火狪,yaoshou,4,"[6, 9]","火狱外围,坠魔外谷",,bestiary_v99.json,火眼可炼探查类辅材；群居时优先集火头目。
yin_yang_shi_zi,阴阳狮子兽,yaoshou,5,"[8, 11]","阴阳窟深层,太极遗迹",,bestiary_v99.json,需双属性或物理破防。掉落利阴阳功法。
qi_sha_xing_ying,七杀星影（试炼）,humanoid_other,6,"[9, 12]","星宫试炼,古战场投影",,bestiary_v99.json,非永久实体。试炼分/声望向。
hai_yu_jiao_ren,海御鲛人,yaoshou,4,"[7, 10]",内星海暗礁部落,,bestiary_v99.json,高智海族。交易鲛珠；开战则部落增援。
xue_yun_hu_alpha,雪云狐王,lingshou,5,"[7, 9]",雪原秘境,,bestiary_v99.json,雪云狐线精英。击杀可能触发尸魈事件。
zhu_guo_chong,蛀果虫,chong,1,"[1, 4]","药园,灵果林",,bestiary_v99.json,经济害虫。不杀则灵烛/天灵果等产量暴跌。
shou_yuan_shu_yao,寿元树妖（老）,plant_spirit,6,"[9, 12]","禁地中心,灵界古林",,bestiary_v99.json,可战可谈。杀之获材但背「夺寿」因果叙事。
fei_jian_ku_shou,飞剑冢守护剑傀,humanoid_other,5,"[7, 10]","剑冢,试剑禁地深层",,bestiary_v99.json,剑修圣地试炼怪。破核心或收服一柄本命残剑。
mo_lan_tu_teng_shou,慕兰图腾巨兽,yaoshou,6,"[8, 11]",慕兰战场中军,,bestiary_v99.json,破图腾兽=削弱一片敌阵。优先目标。
ling_yu_bai_ze_pseudo,白泽伪种,lingshou,5,"[9, 12]","拍卖,上古遗迹",,bestiary_v99.json,知万物的传说弱化版。可作鉴定辅助灵兽，极珍。
qi_xuan_men_hufa,七玄门护法人为（凡人高手）,humanoid_other,1,MORTAL,"七玄门,沧州山野",,bestiary_v100.json,凡人阶段敌人。无灵根，靠阵与人数；升仙后不足为惧。
ye_lang_bang_xiu,野狼帮修士,humanoid_other,2,"[1, 3]","边荒,升仙令争夺区",,bestiary_v100.json,金光上人线生态。掉落入门门票相关。
huang_feng_wai_men_patrol,黄枫谷外门巡查,humanoid_other,2,"[2, 5]","黄枫谷山门,药园外围",,bestiary_v100.json,友军默认。攻击=叛宗。
xue_se_shou_hu_shou,血色禁地守护兽（中核）,yaoshou,4,"[4, 7]",血色禁地中心区,,bestiary_v100.json,四主药田精英。试炼期刷新；非永久野外。
yan_ling_bao_ci_ke,燕翎堡刺客修,humanoid_other,3,"[4, 6]","天南商道,追杀线",,bestiary_v100.json,王蝉线。杀之加鬼灵门热度。
ling_kuang_kuang_gong,灵矿苦役妖兽,yaoshou,2,"[3, 6]",灵矿地道,,bestiary_v100.json,地道副本杂兵。魔道袭矿时狂化。
